"","text"
"1","ok"
"2","jelek  ani"
"3","traveloka kalo cari cs dilayani sma both gk  cost ribet dah knya   trus meningkatkan yanan traveloka  suka ambil rejeki ojek online travel   alanan   n makanan aain aja sih"
"4","mantap"
"5","berguna bangett ga ribet"
"6","alhamdulillah  nyaman  fasilitas  layanan traveloka"
"7","cemen nama doang gede bersaing  aator sebelah aja gak sanggukanya   num nama doang dibrand  bangkrutkan traveloka eats nya malu banget  aator sebelah senjata makan tuan kalo  sukses ya mandiri  ngandelin aator  kasian noh mitra lo udah nyender beli atribut  lo bebenah maluu booskuuh  nyesel lo haaood ngandelin travel lo gada  nya"
"8","kecewa  traveloka   n   nginahotel samihak hotel   memes krn hotel h    dana  data yg masuk  mnt tanggung jwb nya taidak  ajual atalan    bayar lunas kenaidak  tindakan sya bayar  uang  daun sya mnt uang sya  kembalikan krn   menginaana  k hotel  menerima data  uangnya d  apk"
"9","ok"
"10","good"
"11","yop"
"12","traveloka terbaik"
"13","mudah murah"
"14","aasi yg  berguna"
"15","tmantap"
"16","good"
"17"," "
"18","mantarantaudah beli tiket tolong  oayaran  dana gopay  bsi"
"19"," "
"20"," memudah"
"21","good"
"22","solusi iketan"
"23"," membantu"
"24","siiihh"
"25","fitur lengkambelian tiket mudah"
"26",""
"27","traveloka  tiket  hotel online"
"28","proses refund nya  kali ditraveloka   nya   ayaran ditolak otomatis  tolang  bantu k traveloka su ceefund nya"
"29","kamake traveloka kle iklan nya nyampah"
"30"," "
"31","elian tiket wat jd  mudah"
"32","nice"
"33"," aja   sy   sy  ranting"
"34","kecewa  kali  n studio karaoke ga  masuk dihari sanan minimal h     reservasi   wa outletnya oke  ikutin  wa admin outlet  reservasi sdh h   bls  besok nya  admin jam   nov ok kk ya gw   malam nya  outlet niat hati  ha eh denolakan   alasan yg    sy sdh ngikutin aturan h wa  outlet payah traveloka kagw"
"35","terbaik"
"36","okay"
"37","gak  daftar kode verifikasi gak ah muncul pdahal    krn ganti nmr jd dftar  mlhan eror mulu h bgt"
"38"," terang  nggan  kecewa  aasi   tunggakan  denda   clearkan   taamdetik inie k k dc keraneror tanenti  mohon  k inan sahaan   serius  menindak   kecewa berat  ka semoga rintah mencabut ijin oional traveloka   bekukan   terima kasih"
"39"," suka  ribet"
"40","oke"
"41","  iklan"
"42","  coba"
"43","aasi    terimakasih traveloka"
"44"," mudah  simn hotel  aasi "
"45","mantap"
"46","aasinya bagus banget  beli tiket  destinasi wisata aasinya bener bagus    coba"
"47"," "
"48","sy sdh   traveloka"
"49","oke"
"50","lumayan membantu"
"51","terimakasih  membantu"
"52","sie"
"53","goodservice"
"54","cukuik"
"55","sorrykarena ulah owner     uninstall aasi   beralih   "
"56","   cedan "
"57","cacat"
"58"," membantu"
"59","pesanan hotel     utama  telfon call centernya mba murti aria  siatu namanya     luotal x nelfon  dis   telfon yg angkat mba murti terdengar berisik  disekitarnya   esional   yg angkat aria   menunggu  menit tanimatikan oke taaya menunggu   ringtone tunggu  dimatikan  sam detik trimakasih   selesai traveloka asaya uninstal"
"60","efektif"
"61","good job"
"62","ok"
"63","jelek banget ya yanan ren car driver nya kalo   nilai   dr   dr kalimantan    urusan ing  d rescedule ulang boking jam  d jemdrivernya hamjam   molor nya kejauhan banget  sdh gitu uang gak bs d refund   batal sistem meniustumers  halus ya  kecewa     yanannya  komunikasi nya  ren carnta     standar  h "
"64"," membantu"
"65"," "
"66","siiintap"
"67","bagus"
"68","good"
"69","excellent"
"70","pidiyowanitapsl"
"71",""
"72"," "
"73","keren"
"74","mantap"
"75","top"
"76","semangkin jelekdari sebelom nya"
"77","love traveloka"
"78","mantap"
"79","ok"
"80","good"
"81","bagss"
"82","bagus"
"83","mantap"
"84",""
"85","top"
"86","semangaat"
