"","klasifikasi","score","text"
"1","Netral",0,"ok"
"2","Negatif",-1,"jelek  ani"
"3","Netral",0,"traveloka kalo cari cs dilayani sma both gk  cost ribet dah knya   trus meningkatkan yanan traveloka  suka ambil rejeki ojek online travel   alanan   n makanan aain aja sih"
"4","Netral",0,"mantap"
"5","Negatif",-2,"berguna bangett ga ribet"
"6","Positif",2,"alhamdulillah  nyaman  fasilitas  layanan traveloka"
"7","Negatif",-3,"cemen nama doang gede bersaing  aator sebelah aja gak sanggukanya   num nama doang dibrand  bangkrutkan traveloka eats nya malu banget  aator sebelah senjata makan tuan kalo  sukses ya mandiri  ngandelin aator  kasian noh mitra lo udah nyender beli atribut  lo bebenah maluu booskuuh  nyesel lo haaood ngandelin travel lo gada  nya"
"8","Positif",3,"kecewa  traveloka   n   nginahotel samihak hotel   memes krn hotel h    dana  data yg masuk  mnt tanggung jwb nya taidak  ajual atalan    bayar lunas kenaidak  tindakan sya bayar  uang  daun sya mnt uang sya  kembalikan krn   menginaana  k hotel  menerima data  uangnya d  apk"
"9","Netral",0,"ok"
"10","Netral",0,"good"
"11","Netral",0,"yop"
"12","Positif",1,"traveloka terbaik"
"13","Netral",0,"mudah murah"
"14","Netral",0,"aasi yg  berguna"
"15","Netral",0,"tmantap"
"16","Netral",0,"good"
"17","Netral",0," "
"18","Positif",1,"mantarantaudah beli tiket tolong  oayaran  dana gopay  bsi"
"19","Netral",0," "
"20","Netral",0," memudah"
"21","Netral",0,"good"
"22","Netral",0,"solusi iketan"
"23","Netral",0," membantu"
"24","Netral",0,"siiihh"
"25","Positif",1,"fitur lengkambelian tiket mudah"
"26","Netral",0,""
"27","Netral",0,"traveloka  tiket  hotel online"
"28","Negatif",-1,"proses refund nya  kali ditraveloka   nya   ayaran ditolak otomatis  tolang  bantu k traveloka su ceefund nya"
"29","Netral",0,"kamake traveloka kle iklan nya nyampah"
"30","Netral",0," "
"31","Netral",0,"elian tiket wat jd  mudah"
"32","Netral",0,"nice"
"33","Netral",0," aja   sy   sy  ranting"
"34","Negatif",-3,"kecewa  kali  n studio karaoke ga  masuk dihari sanan minimal h     reservasi   wa outletnya oke  ikutin  wa admin outlet  reservasi sdh h   bls  besok nya  admin jam   nov ok kk ya gw   malam nya  outlet niat hati  ha eh denolakan   alasan yg    sy sdh ngikutin aturan h wa  outlet payah traveloka kagw"
"35","Positif",1,"terbaik"
"36","Netral",0,"okay"
"37","Negatif",-1,"gak  daftar kode verifikasi gak ah muncul pdahal    krn ganti nmr jd dftar  mlhan eror mulu h bgt"
"38","Negatif",-2," terang  nggan  kecewa  aasi   tunggakan  denda   clearkan   taamdetik inie k k dc keraneror tanenti  mohon  k inan sahaan   serius  menindak   kecewa berat  ka semoga rintah mencabut ijin oional traveloka   bekukan   terima kasih"
"39","Negatif",-1," suka  ribet"
"40","Netral",0,"oke"
"41","Netral",0,"  iklan"
"42","Netral",0,"  coba"
"43","Netral",0,"aasi    terimakasih traveloka"
"44","Netral",0," mudah  simn hotel  aasi "
"45","Netral",0,"mantap"
"46","Positif",3,"aasinya bagus banget  beli tiket  destinasi wisata aasinya bener bagus    coba"
"47","Netral",0," "
"48","Netral",0,"sy sdh   traveloka"
"49","Netral",0,"oke"
"50","Positif",1,"lumayan membantu"
"51","Netral",0,"terimakasih  membantu"
"52","Netral",0,"sie"
"53","Netral",0,"goodservice"
"54","Netral",0,"cukuik"
"55","Netral",0,"sorrykarena ulah owner     uninstall aasi   beralih   "
"56","Netral",0,"   cedan "
"57","Negatif",-1,"cacat"
"58","Netral",0," membantu"
"59","Positif",4,"pesanan hotel     utama  telfon call centernya mba murti aria  siatu namanya     luotal x nelfon  dis   telfon yg angkat mba murti terdengar berisik  disekitarnya   esional   yg angkat aria   menunggu  menit tanimatikan oke taaya menunggu   ringtone tunggu  dimatikan  sam detik trimakasih   selesai traveloka asaya uninstal"
"60","Netral",0,"efektif"
"61","Netral",0,"good job"
"62","Netral",0,"ok"
"63","Negatif",-2,"jelek banget ya yanan ren car driver nya kalo   nilai   dr   dr kalimantan    urusan ing  d rescedule ulang boking jam  d jemdrivernya hamjam   molor nya kejauhan banget  sdh gitu uang gak bs d refund   batal sistem meniustumers  halus ya  kecewa     yanannya  komunikasi nya  ren carnta     standar  h "
"64","Netral",0," membantu"
"65","Netral",0," "
"66","Netral",0,"siiintap"
"67","Positif",1,"bagus"
"68","Netral",0,"good"
"69","Netral",0,"excellent"
"70","Netral",0,"pidiyowanitapsl"
"71","Netral",0,""
"72","Netral",0," "
"73","Positif",1,"keren"
"74","Netral",0,"mantap"
"75","Netral",0,"top"
"76","Netral",0,"semangkin jelekdari sebelom nya"
"77","Netral",0,"love traveloka"
"78","Netral",0,"mantap"
"79","Netral",0,"ok"
"80","Netral",0,"good"
"81","Netral",0,"bagss"
"82","Positif",1,"bagus"
"83","Netral",0,"mantap"
"84","Netral",0,""
"85","Netral",0,"top"
"86","Netral",0,"semangaat"
"87","Netral",0,"mantap"
"88","Netral",0,"transfer i mandiri  "
"89","Netral",0,"good"
"90","Netral",0," membntu"
"91","Positif",1,"bagus  membantu"
"92","Netral",0," berguna"
"93","Netral",0,"very good"
"94","Positif",1,"ok banget lahcuma jgan d ahan  yat tingkatkan "
"95","Netral",0,"uninstallend"
"96","Netral",0,"ok"
"97","Netral",0,"goog"
